Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,5.211432456970215,0.03464776277542114,0.007005762308835983,0.001085819210857153,0.00021955216652713716,NA,0
1,4.026369094848633,0.003111647441983223,0.0006291737663559616,0.001085819210857153,0.00021955216652713716,1e-06,129.3869593143463
2,3.164292097091675,0.0013834310229867697,0.00027972913812845945,0.001085819210857153,0.00021955216652713716,1e-06,258.2502222061157
3,3.0003154277801514,0.0011898812372237444,0.00024059346469584852,0.001085819210857153,0.00021955216652713716,1e-06,384.2318890094757
4,2.980644464492798,0.00120838254224509,0.0002443344274070114,0.001085819210857153,0.00021955216652713716,1e-06,509.9283220767975
5,2.96575665473938,0.000977834453806281,0.00019771770166698843,0.001085819210857153,0.00021955216652713716,1e-06,637.2775807380676
6,2.976071834564209,0.0011535997036844492,0.00023325734946411103,0.001085819210857153,0.00021955216652713716,1e-10,982.1238980293274
