Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.638803958892822,0.05556498095393181,0.011316167190670967,0.0009916417766362429,0.0002019542589550838,NA,0
1,3.740262985229492,0.0025008453521877527,0.0005093133077025414,0.0009916417766362429,0.0002019542589550838,1e-06,94.4883348941803
2,3.184710741043091,0.0013721631839871407,0.0002794498868752271,0.0009916417766362429,0.0002019542589550838,1e-06,189.89347290992737
3,3.062288522720337,0.0016429855022579432,0.00033460461418144405,0.0009916417766362429,0.0002019542589550838,1e-06,284.8006672859192
4,3.0458383560180664,0.0013071600114926696,0.0002662115730345249,0.0009916417766362429,0.0002019542589550838,1e-06,380.38199377059937
5,3.0182697772979736,0.0025031003169715405,0.0005097725661471486,0.0009916417766362429,0.0002019542589550838,1e-06,474.9677906036377
6,3.0034329891204834,0.0012096501886844635,0.00024635306908749044,0.0009916417766362429,0.0002019542589550838,1e-06,570.762193441391
7,3.0012576580047607,0.0016997915226966143,0.000346173532307148,0.0009916417766362429,0.0002019542589550838,1e-06,665.97962641716
8,3.0009171962738037,0.001380381640046835,0.00028112364816479385,0.0009916417766362429,0.0002019542589550838,1e-07,816.9215610027313
9,3.000483274459839,0.0011659557931125164,0.00023745442740619183,0.0009916417766362429,0.0002019542589550838,1e-08,970.5418329238892
10,2.9999680519104004,0.0041580405086278915,0.0008468118030577898,0.0009916417766362429,0.0002019542589550838,1e-08,1066.6850805282593
11,3.0125391483306885,0.001611124724149704,0.0003281159733887762,0.0009916417766362429,0.0002019542589550838,1e-10,1219.0050585269928
