Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.61413311958313,0.03652876988053322,0.010729425586760044,0.0005871154135093093,0.00017245067283511162,NA,0
1,2.9135210514068604,0.001358254230581224,0.0003989537071902305,0.0005871154135093093,0.00017245067283511162,1e-06,100.86010718345642
2,2.495598316192627,0.0008142385631799698,0.00023916250211186707,0.0005871154135093093,0.00017245067283511162,1e-06,201.7971897125244
3,2.3795385360717773,0.0007239202386699617,0.00021263372036628425,0.0005871154135093093,0.00017245067283511162,1e-06,302.3592984676361
4,2.3446342945098877,0.0005236446158960462,0.00015380770491901785,0.0005871154135093093,0.00017245067283511162,1e-06,403.1461491584778
5,2.339311361312866,0.000491500657517463,0.000144366204040125,0.0005871154135093093,0.00017245067283511162,1e-06,505.0792062282562
6,2.335994005203247,0.0005382395465858281,0.00015809459728188813,0.0005871154135093093,0.00017245067283511162,1e-06,605.8052158355713
7,2.3366618156433105,0.00046456739073619246,0.00013645521539729089,0.0005871154135093093,0.00017245067283511162,1e-10,846.3189098834991
