Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.0280961990356445,0.03300456702709198,0.006864382419735193,0.0008803921518847346,0.00018310642917640507,NA,0
1,3.1181490421295166,0.0020214940886944532,0.0004204360011499375,0.0008803921518847346,0.00018310642917640507,1e-06,117.21063542366028
2,2.6182854175567627,0.0013914478477090597,0.0002893972268793732,0.0008803921518847346,0.00018310642917640507,1e-06,233.4455587863922
3,2.546602725982666,0.0013108969433233142,0.00027264401433058083,0.0008803921518847346,0.00018310642917640507,1e-06,349.3643934726715
4,2.5332882404327393,0.0011627970961853862,0.00024184180074371397,0.0008803921518847346,0.00018310642917640507,1e-06,463.7552809715271
5,2.520233154296875,0.0010484688682481647,0.00021806350559927523,0.0008803921518847346,0.00018310642917640507,1e-06,579.7576982975006
6,2.5313663482666016,0.0011925268918275833,0.0002480250841472298,0.0008803921518847346,0.00018310642917640507,1e-10,899.4726283550262
