Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.507227897644043,0.02943563275039196,0.0059594931080937386,0.0011735411826521158,0.00023759333998896182,NA,0
1,3.6454343795776367,0.0035531907342374325,0.0007193735218606889,0.0011735411826521158,0.00023759333998896182,1e-06,114.09713578224182
2,3.160609006881714,0.002085600048303604,0.0004222473653499037,0.0011735411826521158,0.00023759333998896182,1e-06,230.967604637146
3,3.0672261714935303,0.0023594703525304794,0.0004776947316713631,0.0011735411826521158,0.00023759333998896182,1e-06,346.9806778430939
4,3.0352442264556885,0.0013842362677678466,0.0002802503586281091,0.0011735411826521158,0.00023759333998896182,1e-06,463.7752685546875
5,3.0297179222106934,0.0013729555066674948,0.0002779664646368474,0.0011735411826521158,0.00023759333998896182,1e-06,581.0530197620392
6,3.027151107788086,0.0013317384291440248,0.0002696217270568013,0.0011735411826521158,0.00023759333998896182,1e-06,696.5562348365784
7,3.014906167984009,0.0010251675266772509,0.00020755383593495935,0.0011735411826521158,0.00023759333998896182,1e-06,813.0276670455933
8,3.0133423805236816,0.0010249949991703033,0.00020751891133841127,0.0011735411826521158,0.00023759333998896182,1e-08,1065.7669868469238
9,3.0255935192108154,0.0012774766655638814,0.00025863596238195896,0.0011735411826521158,0.00023759333998896182,1e-10,1249.221296787262
