Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.4777283668518066,0.03087191842496395,0.009451561607420444,0.0007473028963431716,0.00022878976596985012,NA,0
1,2.665977716445923,0.0012304959818720818,0.00037672126200050116,0.0007473028963431716,0.00022878976596985012,1e-06,67.35779142379761
2,2.1301281452178955,0.001148541341535747,0.000351630529621616,0.0007473028963431716,0.00022878976596985012,1e-06,136.75157165527344
3,2.0053672790527344,0.0011161896400153637,0.0003417259140405804,0.0007473028963431716,0.00022878976596985012,1e-06,205.55755400657654
4,1.991355538368225,0.0008507283637300134,0.0002604539040476084,0.0007473028963431716,0.00022878976596985012,1e-06,273.5362663269043
5,2.004889726638794,0.0012415110832080245,0.0003800935810431838,0.0007473028963431716,0.00022878976596985012,1e-10,447.94641184806824
