Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.7372541427612305,0.023943057283759117,0.007080323528498411,0.0009263682877644897,0.0002739410847425461,NA,0
1,3.1065423488616943,0.0015872388612478971,0.0004693704831879586,0.0009263682877644897,0.0002739410847425461,1e-06,85.1538155078888
2,2.6694321632385254,0.0014169483911246061,0.00041901302756741643,0.0009263682877644897,0.0002739410847425461,1e-06,169.62516498565674
3,2.5358364582061768,0.0022882584016770124,0.000676672556437552,0.0009263682877644897,0.0002739410847425461,1e-06,253.83589959144592
4,2.490492582321167,0.0005638286238536239,0.00016673262871336192,0.0009263682877644897,0.0002739410847425461,1e-06,337.8204801082611
5,2.487689733505249,0.000568986521102488,0.00016825790225993842,0.0009263682877644897,0.0002739410847425461,1e-06,420.92118763923645
6,2.479782819747925,0.0007511581643484533,0.00022212880139704794,0.0009263682877644897,0.0002739410847425461,1e-06,504.3667223453522
7,2.4750590324401855,0.0008185814949683845,0.00024206690432038158,0.0009263682877644897,0.0002739410847425461,1e-06,587.9523046016693
8,2.478729248046875,0.0005212229443714023,0.00015413349319715053,0.0009263682877644897,0.0002739410847425461,1e-10,795.0873868465424
