Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.385567665100098,0.03193731606006622,0.0064852540381252766,0.0016842627665027976,0.000342009705491364,NA,0
1,3.5155386924743652,0.0028227418661117554,0.0005731915007345378,0.0016842627665027976,0.000342009705491364,1e-06,63.95092725753784
2,3.028621196746826,0.0016743731684982777,0.00034000148298218846,0.0016842627665027976,0.000342009705491364,1e-06,127.10118269920349
3,2.953655958175659,0.0013616932556033134,0.0002765081007964909,0.0016842627665027976,0.000342009705491364,1e-06,190.84385585784912
4,2.9218270778656006,0.0014205360785126686,0.0002884568239096552,0.0016842627665027976,0.000342009705491364,1e-06,254.37434816360474
5,2.919196605682373,0.0012576598674058914,0.00025538288173265755,0.0016842627665027976,0.000342009705491364,1e-07,358.4315552711487
6,2.9314262866973877,0.001362921204417944,0.00027675743331201375,0.0016842627665027976,0.000342009705491364,1e-10,503.6143465042114
