Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.533170223236084,0.032670680433511734,0.006593009922653437,0.0013411587569862604,0.0002706485684029758,NA,0
1,3.4527599811553955,0.0028600532095879316,0.0005771645810455084,0.0013411587569862604,0.0002706485684029758,1e-06,63.26495695114136
2,2.7322587966918945,0.0014513781061396003,0.0002928910544142127,0.0013411587569862604,0.0002706485684029758,1e-06,125.60103559494019
3,2.6521453857421875,0.001780771417543292,0.0003593633009586483,0.0013411587569862604,0.0002706485684029758,1e-06,187.6375551223755
4,2.6437530517578125,0.0014660906745120883,0.0002958600816782564,0.0013411587569862604,0.0002706485684029758,1e-06,251.22931790351868
5,2.6413722038269043,0.0013418851885944605,0.00027079516439698637,0.0013411587569862604,0.0002706485684029758,1e-07,356.69354128837585
6,2.6395816802978516,0.0014066584408283234,0.0002838665386661887,0.0013411587569862604,0.0002706485684029758,1e-07,419.50848627090454
7,2.6392605304718018,0.0013960928190499544,0.00028173436294309795,0.0013411587569862604,0.0002706485684029758,1e-07,481.54904103279114
8,2.6400537490844727,0.001412171870470047,0.0002849791490007192,0.0013411587569862604,0.0002706485684029758,1e-10,625.9605560302734
