Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.3101089000701904,0.02375289797782898,0.007273490075021982,0.0005210646195337176,0.00015955771959852427,NA,0
1,2.5465898513793945,0.0007839677855372429,0.00024006256717257202,0.0005210646195337176,0.00015955771959852427,1e-06,166.3358404636383
2,2.0833511352539062,0.0013258525868877769,0.0004059957282152027,0.0005210646195337176,0.00015955771959852427,1e-06,329.77434849739075
3,1.9789098501205444,0.00037822287413291633,0.00011581745638977736,0.0005210646195337176,0.00015955771959852427,1e-06,495.14662647247314
4,1.9702740907669067,0.000437205279013142,0.00013387874059844762,0.0005210646195337176,0.00015955771959852427,1e-06,658.5036609172821
5,1.9566200971603394,0.00047091185115277767,0.0001442001957911998,0.0005210646195337176,0.00015955771959852427,1e-06,822.7650816440582
6,1.9571216106414795,0.00048808404244482517,0.00014945857401471585,0.0005210646195337176,0.00015955771959852427,1e-10,1190.4958457946777
