Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.7097811698913574,0.022299131378531456,0.006828655488789082,0.00032817129977047443,0.00010049578850157559,NA,0
1,2.977853536605835,0.001332787680439651,0.00040813913801684976,0.00032817129977047443,0.00010049578850157559,1e-06,166.08226585388184
2,2.494993209838867,0.000518839224241674,0.0001588839659234509,0.00032817129977047443,0.00010049578850157559,1e-06,330.3558292388916
3,2.354349374771118,0.0005441908724606037,0.00016664738359395415,0.00032817129977047443,0.00010049578850157559,1e-06,495.2537634372711
4,2.3275973796844482,0.00041325215715914965,0.00012655007594730705,0.00032817129977047443,0.00010049578850157559,1e-06,659.6701440811157
5,2.321669101715088,0.0004077026969753206,0.00012485065963119268,0.00032817129977047443,0.00010049578850157559,1e-06,823.8798561096191
6,2.320866107940674,0.0004417544696480036,0.00013527832925319672,0.00032817129977047443,0.00010049578850157559,1e-06,988.0769567489624
7,2.3066723346710205,0.0004933574819006026,0.00015108069055713713,0.00032817129977047443,0.00010049578850157559,1e-07,1220.1586198806763
8,2.3057363033294678,0.0005194701952859759,0.00015907718625385314,0.00032817129977047443,0.00010049578850157559,1e-09,1522.2242197990417
9,2.3264713287353516,0.001062752678990364,0.00032544639543630183,0.00032817129977047443,0.00010049578850157559,1e-10,1687.7126953601837
