Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.129016876220703,0.024211321026086807,0.005021560005843639,0.001278046751394868,0.00026507387519814074,NA,0
1,3.2002134323120117,0.0022684575524181128,0.0004704904567915946,0.001278046751394868,0.00026507387519814074,1e-06,73.3349392414093
2,2.6967403888702393,0.0015815788647159934,0.00032802807982079685,0.001278046751394868,0.00026507387519814074,1e-06,146.69318866729736
3,2.5710532665252686,0.0011964815203100443,0.0002481567789800465,0.001278046751394868,0.00026507387519814074,1e-06,219.24776196479797
4,2.554910659790039,0.0013442258350551128,0.0002787997655104846,0.001278046751394868,0.00026507387519814074,1e-06,292.45637822151184
5,2.549300193786621,0.0012698294594883919,0.0002633695548865944,0.001278046751394868,0.00026507387519814074,1e-06,365.1967236995697
6,2.5455970764160156,0.0014952009078115225,0.000310112809529528,0.001278046751394868,0.00026507387519814074,1e-06,438.3004238605499
7,2.5385749340057373,0.0014170682989060879,0.00029390768031589687,0.001278046751394868,0.00026507387519814074,1e-06,511.19787979125977
8,2.535402774810791,0.001121466513723135,0.00023259826411958784,0.001278046751394868,0.00026507387519814074,1e-06,584.3501653671265
9,2.5370664596557617,0.0011364745441824198,0.0002357110206503421,0.001278046751394868,0.00026507387519814074,1e-09,750.1603872776031
