Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.5620265007019043,0.023413341492414474,0.0071729631163179874,0.00030149356462061405,9.2366237367969e-05,NA,0
1,2.779991626739502,0.0010629580356180668,0.0003256501804571599,0.00030149356462061405,9.2366237367969e-05,1e-06,180.63231706619263
2,2.2293756008148193,0.0005331408465281129,0.0001633342180866748,0.00030149356462061405,9.2366237367969e-05,1e-06,360.0115716457367
3,2.1036038398742676,0.0002652510884217918,8.126290776999667e-05,0.00030149356462061405,9.2366237367969e-05,1e-06,542.6932725906372
4,2.0853350162506104,0.0003878705610986799,0.00011882888793479651,0.00030149356462061405,9.2366237367969e-05,1e-06,725.6681790351868
5,2.082216501235962,0.0003136273007839918,9.608355321688578e-05,0.00030149356462061405,9.2366237367969e-05,1e-06,906.3280324935913
6,2.080155611038208,0.0003916932619176805,0.00012000001879641786,0.00030149356462061405,9.2366237367969e-05,1e-06,1087.031447649002
7,2.08129620552063,0.00034248788142576814,0.00010492534784134477,0.00030149356462061405,9.2366237367969e-05,1e-10,1481.5067403316498
