Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.039188385009766,0.03500351309776306,0.010732217691838741,0.00029326006188057363,8.991471258923411e-05,NA,0
1,3.229961395263672,0.0007115441258065403,0.00021816228399984539,0.00029326006188057363,8.991471258923411e-05,1e-06,181.84333324432373
2,2.6203479766845703,0.0007135631749406457,0.00021878133702557534,0.00029326006188057363,8.991471258923411e-05,1e-06,360.3104622364044
3,2.4225916862487793,0.00035404146183282137,0.00010855053551495075,0.00029326006188057363,8.991471258923411e-05,1e-06,540.298357963562
4,2.3876776695251465,0.00035063186078332365,0.00010750513320090249,0.00029326006188057363,8.991471258923411e-05,1e-06,721.5845773220062
5,2.37540340423584,0.0006282932590693235,0.0001926372351590544,0.00029326006188057363,8.991471258923411e-05,1e-06,901.8863589763641
6,2.388955593109131,0.0004238193796481937,0.00012994471762795,0.00029326006188057363,8.991471258923411e-05,1e-10,1297.9909327030182
