Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.520195484161377,0.027652453631162643,0.008465159684419632,0.0004167940642219037,0.0001275918766623363,NA,0
1,2.8101181983947754,0.0008809207356534898,0.0002696735318750143,0.0004167940642219037,0.0001275918766623363,1e-06,148.4251570701599
2,2.363959789276123,0.000502078328281641,0.00015369968605227768,0.0004167940642219037,0.0001275918766623363,1e-06,297.55958127975464
3,2.2177867889404297,0.0006939467857591808,0.00021243577066343278,0.0004167940642219037,0.0001275918766623363,1e-06,445.14870166778564
4,2.194861888885498,0.0006749550811946392,0.00020662190217990428,0.0004167940642219037,0.0001275918766623363,1e-06,593.8060178756714
5,2.167030096054077,0.0007284411694854498,0.00022299544070847332,0.0004167940642219037,0.0001275918766623363,1e-06,741.9478917121887
6,2.1652753353118896,0.0007998867658898234,0.0002448668528813869,0.0004167940642219037,0.0001275918766623363,1e-07,953.5773482322693
7,2.178652763366699,0.00047693782835267484,0.00014600349823012948,0.0004167940642219037,0.0001275918766623363,1e-10,1228.6262316703796
