Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.201967239379883,0.02953696995973587,0.006137427408248186,0.0025027859956026077,0.0005200488376431167,NA,0
1,3.310081958770752,0.00366752571426332,0.0007620677934028208,0.0025027859956026077,0.0005200488376431167,1e-06,53.399208784103394
2,2.8557043075561523,0.0029763863421976566,0.0006184573285281658,0.0025027859956026077,0.0005200488376431167,1e-06,106.18005657196045
3,2.7712960243225098,0.002405906096100807,0.0004999183584004641,0.0025027859956026077,0.0005200488376431167,1e-06,159.39410734176636
4,2.750581979751587,0.002012797398492694,0.0004182351112831384,0.0025027859956026077,0.0005200488376431167,1e-06,213.20658421516418
5,2.73533034324646,0.0017714330460876226,0.0003680825175251812,0.0025027859956026077,0.0005200488376431167,1e-06,266.7643165588379
6,2.7306201457977295,0.001734444871544838,0.0003603968070819974,0.0025027859956026077,0.0005200488376431167,1e-06,318.8211839199066
7,2.734839916229248,0.0019640957470983267,0.0004081155057065189,0.0025027859956026077,0.0005200488376431167,1e-10,481.5630223751068
