Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.257272243499756,0.023936711251735687,0.004917833022773266,0.0015609086258336902,0.0003206910041626543,NA,0
1,3.2823569774627686,0.0021226005628705025,0.00043609144631773233,0.0015609086258336902,0.0003206910041626543,1e-06,53.32928681373596
2,2.737913131713867,0.0030281355138868093,0.0006221349467523396,0.0015609086258336902,0.0003206910041626543,1e-06,106.29393243789673
3,2.6210134029388428,0.001563817961141467,0.0003212887095287442,0.0015609086258336902,0.0003206910041626543,1e-06,158.80882620811462
4,2.6042354106903076,0.0015137132722884417,0.0003109946264885366,0.0015609086258336902,0.0003206910041626543,1e-06,213.0404646396637
5,2.6005964279174805,0.0020440032240003347,0.00041994350613094866,0.0015609086258336902,0.0003206910041626543,1e-06,266.1616852283478
6,2.5999832153320312,0.0014323682989925146,0.0002942821884062141,0.0015609086258336902,0.0003206910041626543,1e-06,319.16048789024353
7,2.586880683898926,0.001745068235322833,0.0003585268568713218,0.0015609086258336902,0.0003206910041626543,1e-06,372.4437198638916
8,2.600438356399536,0.001475354889407754,0.0003031138621736318,0.0015609086258336902,0.0003206910041626543,1e-10,534.1180593967438
