Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,5.321689128875732,0.07968845218420029,0.015968944877386093,0.0021674777381122112,0.00043434565304778516,NA,0
1,4.224292755126953,0.0036172494292259216,0.0007248686160892248,0.0021674777381122112,0.00043434565304778516,1e-06,53.34411001205444
2,3.4103589057922363,0.0028668351005762815,0.0005744914524257183,0.0021674777381122112,0.00043434565304778516,1e-06,106.17354583740234
3,3.2257957458496094,0.0018699909560382366,0.00037473163683898747,0.0021674777381122112,0.00043434565304778516,1e-06,159.56233882904053
4,3.2049784660339355,0.002144293859601021,0.0004296997794881463,0.0021674777381122112,0.00043434565304778516,1e-06,213.05097603797913
5,3.1948041915893555,0.002094932598993182,0.00041980817331932485,0.0021674777381122112,0.00043434565304778516,1e-06,266.1191942691803
6,3.2153396606445312,0.0024307856801897287,0.00048711051931604743,0.0021674777381122112,0.00043434565304778516,1e-10,426.73164463043213
