Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.561511516571045,0.02104325219988823,0.006196240428835154,0.0009157696622423828,0.00026965077267959714,NA,0
1,2.757478713989258,0.0010581129463389516,0.00031156413024291396,0.0009157696622423828,0.00026965077267959714,1e-06,148.59229516983032
2,2.2426469326019287,0.0005718178581446409,0.00016837325529195368,0.0009157696622423828,0.00026965077267959714,1e-06,297.03802847862244
3,2.120173215866089,0.0008075847290456295,0.00023779543698765337,0.0009157696622423828,0.00026965077267959714,1e-06,444.86763763427734
4,2.0944032669067383,0.0007405119831673801,0.00021804567950312048,0.0009157696622423828,0.00026965077267959714,1e-06,594.8133444786072
5,2.076929807662964,0.0003138999454677105,9.242865780834109e-05,0.0009157696622423828,0.00026965077267959714,1e-06,743.877108335495
6,2.0763440132141113,0.00031464858329854906,9.2649097496178e-05,0.0009157696622423828,0.00026965077267959714,1e-07,956.9010891914368
7,2.071624517440796,0.000614325690548867,0.0001808898086892441,0.0009157696622423828,0.00026965077267959714,1e-08,1168.3631346225739
8,2.082815170288086,0.0003875214315485209,0.00011410669685574248,0.0009157696622423828,0.00026965077267959714,1e-10,1381.7075734138489
