Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.30186653137207,0.03409495949745178,0.010053765960037708,0.0009325665305368602,0.00027499094721861184,NA,0
1,3.4679348468780518,0.002054754178971052,0.0006058965227566659,0.0009325665305368602,0.00027499094721861184,1e-06,147.91093826293945
2,2.777989387512207,0.0006499550072476268,0.00019165576668456197,0.0009325665305368602,0.00027499094721861184,1e-06,296.23966789245605
3,2.591179370880127,0.0007162894471548498,0.00021121616009622812,0.0009325665305368602,0.00027499094721861184,1e-06,445.4499623775482
4,2.565579652786255,0.0004923242377117276,0.0001451743155485019,0.0009325665305368602,0.00027499094721861184,1e-06,595.1102023124695
5,2.552406072616577,0.0005156458355486393,0.00015205128875095397,0.0009325665305368602,0.00027499094721861184,1e-07,806.6674606800079
6,2.5495383739471436,0.0005459049716591835,0.00016097397019620985,0.0009325665305368602,0.00027499094721861184,1e-07,954.6368823051453
7,2.5516228675842285,0.00044051691656932235,0.0001298976130783558,0.0009325665305368602,0.00027499094721861184,1.0000000000000001e-11,1289.627332687378
