Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.7044501304626465,0.04108044132590294,0.008617104962468147,0.004663766827434301,0.000978279858827591,NA,0
1,3.8640875816345215,0.005460464861243963,0.001145396614447236,0.004663766827434301,0.000978279858827591,1e-06,29.58412480354309
2,3.3395090103149414,0.005718971602618694,0.0011996214743703604,0.004663766827434301,0.000978279858827591,1e-06,59.42874360084534
3,3.2220382690429688,0.005730220582336187,0.0012019810965284705,0.004663766827434301,0.000978279858827591,1e-06,88.94947624206543
4,3.185713768005371,0.004252546466886997,0.0008920215768739581,0.004663766827434301,0.000978279858827591,1e-06,119.6410744190216
5,3.1830546855926514,0.004939773119986057,0.0010361754102632403,0.004663766827434301,0.000978279858827591,1e-06,148.80363988876343
6,3.163698673248291,0.004332106560468674,0.0009087102371267974,0.004663766827434301,0.000978279858827591,1e-06,178.23968982696533
7,3.17860746383667,0.004421434365212917,0.0009274478070437908,0.004663766827434301,0.000978279858827591,1e-09,255.66883039474487
