Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.434071063995361,0.06519602239131927,0.013113215565681458,0.011550063267350197,0.0023231245577335358,NA,0
1,3.8429980278015137,0.00587796326726675,0.0011822653468698263,0.011550063267350197,0.0023231245577335358,1e-06,29.56818675994873
2,3.579672336578369,0.004942040424793959,0.0009940183954313397,0.011550063267350197,0.0023231245577335358,1e-06,59.502553939819336
3,3.49065899848938,0.005071758292615414,0.0010201091645285487,0.011550063267350197,0.0023231245577335358,1e-06,89.3219382762909
4,3.449497699737549,0.0043821074068546295,0.0008813961176201701,0.011550063267350197,0.0023231245577335358,1e-06,119.44356083869934
5,3.4453678131103516,0.003970248159021139,0.0007985567208379507,0.011550063267350197,0.0023231245577335358,1e-06,149.32819867134094
6,3.440463066101074,0.004131247755140066,0.00083093938883394,0.011550063267350197,0.0023231245577335358,1e-06,179.2680163383484
7,3.438542127609253,0.004119662567973137,0.0008286092197522521,0.011550063267350197,0.0023231245577335358,1e-07,232.48640394210815
8,3.4604685306549072,0.00510799465700984,0.0010273975785821676,0.011550063267350197,0.0023231245577335358,1e-10,311.65483570098877
