Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.68733286857605,0.024876771494746208,0.007614430505782366,0.003080977126955986,0.0009430438512936234,NA,0
1,3.0689749717712402,0.0013089909916743636,0.00040066379006020725,0.003080977126955986,0.0009430438512936234,1e-06,53.42486619949341
2,2.6558613777160645,0.0011009455192834139,0.00033698396873660386,0.003080977126955986,0.0009430438512936234,1e-06,106.00280904769897
3,2.4961564540863037,0.0009856084361672401,0.00030168090597726405,0.003080977126955986,0.0009430438512936234,1e-06,158.3482699394226
4,2.4403107166290283,0.0007856909651309252,0.00024048898194450885,0.003080977126955986,0.0009430438512936234,1e-06,211.27215886116028
5,2.4221975803375244,0.00119314924813807,0.0003652062441688031,0.003080977126955986,0.0009430438512936234,1e-06,264.0394756793976
6,2.420850992202759,0.0009917303686961532,0.00030355475610122085,0.003080977126955986,0.0009430438512936234,1e-06,317.6349174976349
7,2.4245197772979736,0.0009216354228556156,0.00028209967422299087,0.003080977126955986,0.0009430438512936234,1e-10,461.9570302963257
