Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.3693180084228516,0.017379235476255417,0.005321752279996872,0.0010446194792166352,0.0003198763297405094,NA,0
1,2.6534626483917236,0.0015292202588170767,0.0004682675062213093,0.0010446194792166352,0.0003198763297405094,1e-06,54.26163053512573
2,2.159942626953125,0.0010479604825377464,0.0003208993875887245,0.0010446194792166352,0.0003198763297405094,1e-06,107.35840773582458
3,2.048665761947632,0.000982015859335661,0.00030070627690292895,0.0010446194792166352,0.0003198763297405094,1e-06,160.42828750610352
4,2.0324885845184326,0.0009888309286907315,0.0003027931379619986,0.0010446194792166352,0.0003198763297405094,1e-06,213.75882029533386
5,2.0240249633789062,0.0010027672396972775,0.00030706063262186944,0.0010446194792166352,0.0003198763297405094,1e-06,266.77503204345703
6,2.0256831645965576,0.0009427720215171576,0.00028868927620351315,0.0010446194792166352,0.0003198763297405094,1e-10,410.5395562648773
