Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.312228202819824,0.02815142832696438,0.005854982417076826,0.0008520415867678821,0.00017720907635521144,NA,0
1,3.377073049545288,0.0027478847187012434,0.0005715097649954259,0.0008520415867678821,0.00017720907635521144,1e-06,104.69841361045837
2,2.8265833854675293,0.0016267382306978106,0.00033833179622888565,0.0008520415867678821,0.00017720907635521144,1e-06,210.22494339942932
3,2.6843883991241455,0.0012737143551930785,0.0002649092930369079,0.0008520415867678821,0.00017720907635521144,1e-06,315.17579460144043
4,2.6482696533203125,0.001151844160631299,0.00023956251970957965,0.0008520415867678821,0.00017720907635521144,1e-06,421.0307619571686
5,2.6358165740966797,0.0012249110732227564,0.0002547590993344784,0.0008520415867678821,0.00017720907635521144,1e-06,525.7440686225891
6,2.6309449672698975,0.0012506282655522227,0.0002601078012958169,0.0008520415867678821,0.00017720907635521144,1e-06,631.7448544502258
7,2.630331039428711,0.0012386885937303305,0.000257624575169757,0.0008520415867678821,0.00017720907635521144,1e-06,736.4117000102997
8,2.6295502185821533,0.0012458092533051968,0.00025910555268637836,0.0008520415867678821,0.00017720907635521144,1e-06,841.8659253120422
9,2.6402080059051514,0.0014023743569850922,0.0002916682278737426,0.0008520415867678821,0.00017720907635521144,1e-10,1132.9667840003967
