Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.792107582092285,0.046862974762916565,0.00941855926066637,0.0010016363812610507,0.0002013096964219585,NA,0
1,3.982808828353882,0.0027622305788099766,0.0005551553331315517,0.0010016363812610507,0.0002013096964219585,1e-06,104.07011866569519
2,3.5507113933563232,0.002266310853883624,0.0004554850165732205,0.0010016363812610507,0.0002013096964219585,1e-06,209.24238920211792
3,3.396056652069092,0.0011993409134447575,0.00024104451586026698,0.0010016363812610507,0.0002013096964219585,1e-06,314.4327280521393
4,3.3647563457489014,0.0014052046462893486,0.0002824191760737449,0.0010016363812610507,0.0002013096964219585,1e-06,419.81352400779724
5,3.3301970958709717,0.0016146122943609953,0.0003245061088819057,0.0010016363812610507,0.0002013096964219585,1e-06,526.1772935390472
6,3.327401876449585,0.0011647444916889071,0.00023409129062201828,0.0010016363812610507,0.0002013096964219585,1e-06,631.2970836162567
7,3.3249857425689697,0.0013470709091052413,0.0002707354142330587,0.0010016363812610507,0.0002013096964219585,1e-06,737.504184961319
8,3.3238933086395264,0.0011791519355028868,0.00023698691802565008,0.0010016363812610507,0.0002013096964219585,1e-06,841.2635650634766
9,3.32224178314209,0.0012581900227814913,0.0002528720651753247,0.0010016363812610507,0.0002013096964219585,1e-06,945.8425250053406
10,3.3211658000946045,0.0014348418917506933,0.00028837568243034184,0.0010016363812610507,0.0002013096964219585,1e-08,1178.0516545772552
11,3.3359808921813965,0.0014911440666764975,0.0002996913390234113,0.0010016363812610507,0.0002013096964219585,1e-10,1344.329853773117
