Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.963773012161255,0.02877596765756607,0.008484341204166412,0.0004313147801440209,0.0001271693763555959,NA,0
1,3.3589446544647217,0.000853091012686491,0.0002515263913664967,0.0004313147801440209,0.0001271693763555959,1e-06,115.81954979896545
2,3.001264810562134,0.0009163765935227275,0.0002701855846680701,0.0004313147801440209,0.0001271693763555959,1e-06,231.77978897094727
3,2.851651191711426,0.0006578817265108228,0.00019397064170334488,0.0004313147801440209,0.0001271693763555959,1e-06,347.99346590042114
4,2.8028998374938965,0.0006361388368532062,0.00018755994096864015,0.0004313147801440209,0.0001271693763555959,1e-06,465.38614678382874
5,2.7729668617248535,0.0005633294931612909,0.00016609275189694017,0.0004313147801440209,0.0001271693763555959,1e-06,582.0571601390839
6,2.765577554702759,0.0005160567816346884,0.00015215481107588857,0.0004313147801440209,0.0001271693763555959,1e-06,699.0045275688171
7,2.762767791748047,0.0007148805889301002,0.0002107762556988746,0.0004313147801440209,0.0001271693763555959,1e-08,920.1404902935028
8,2.7689874172210693,0.0005075006047263741,0.0001496320910518989,0.0004313147801440209,0.0001271693763555959,1e-10,1088.31862783432
