Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.963326930999756,0.03364294022321701,0.006914305966347456,0.0010583087569102645,0.00021750389714725316,NA,0
1,2.9934334754943848,0.002558739623054862,0.0005258728633634746,0.0010583087569102645,0.00021750389714725316,1e-06,85.33557152748108
2,2.475011110305786,0.0012091964017599821,0.0002485143777448684,0.0010583087569102645,0.00021750389714725316,1e-06,170.87262725830078
3,2.403960943222046,0.00107376161031425,0.00022067976533435285,0.0010583087569102645,0.00021750389714725316,1e-06,256.1202826499939
4,2.3916022777557373,0.0011879983358085155,0.00024415773805230856,0.0010583087569102645,0.00021750389714725316,1e-06,342.7098059654236
5,2.3776447772979736,0.0010769322980195284,0.00022133141465019435,0.0010583087569102645,0.00021750389714725316,1e-07,480.9973056316376
6,2.3735177516937256,0.0022675644140690565,0.00046603044029325247,0.0010583087569102645,0.00021750389714725316,1e-07,566.4516758918762
7,2.3853888511657715,0.001239638775587082,0.00025477088638581336,0.0010583087569102645,0.00021750389714725316,1.0000000000000001e-11,808.7599239349365
