Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.9536404609680176,0.023349707946181297,0.004805006552487612,0.0018314116168767214,0.0003768760070670396,NA,0
1,2.9905505180358887,0.003347933292388916,0.0006889525684528053,0.0018314116168767214,0.0003768760070670396,1e-06,41.14324975013733
2,2.4405593872070312,0.0024132297839969397,0.0004966051201336086,0.0018314116168767214,0.0003768760070670396,1e-06,82.57148790359497
3,2.371960401535034,0.0018716116901487112,0.0003851485380437225,0.0018314116168767214,0.0003768760070670396,1e-06,124.19933819770813
4,2.3677375316619873,0.0024142006877809763,0.0004968048888258636,0.0018314116168767214,0.0003768760070670396,1e-09,257.0873553752899
5,2.3884596824645996,0.002612780313938856,0.0005376695189625025,0.0018314116168767214,0.0003768760070670396,1e-10,298.29040598869324
