Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,4.350609302520752,0.02720399759709835,0.005545356776565313,0.001975515391677618,0.0004026958777103573,NA,0
1,3.5337183475494385,0.002917713252827525,0.0005947567406110466,0.001975515391677618,0.0004026958777103573,1e-06,41.56612229347229
2,3.0667214393615723,0.0029488923028111458,0.0006011123768985271,0.001975515391677618,0.0004026958777103573,1e-06,83.66246390342712
3,2.916996717453003,0.0015094497939571738,0.00030769145814701915,0.001975515391677618,0.0004026958777103573,1e-06,125.6153244972229
4,2.895578145980835,0.0023182949516922235,0.0004725692269857973,0.001975515391677618,0.0004026958777103573,1e-06,166.66464710235596
5,2.881016969680786,0.0022400557063519955,0.0004566206771414727,0.001975515391677618,0.0004026958777103573,1e-06,208.04937982559204
6,2.862898826599121,0.0013306791661307216,0.00027125023189000785,0.001975515391677618,0.0004026958777103573,1e-06,249.91725301742554
7,2.860581159591675,0.001133396290242672,0.00023103540297597647,0.001975515391677618,0.0004026958777103573,1e-06,292.12188959121704
8,2.858657121658325,0.0011573570081964135,0.00023591963690705597,0.001975515391677618,0.0004026958777103573,1e-09,424.46667075157166
9,2.870042085647583,0.0016612529288977385,0.0003386355238035321,0.001975515391677618,0.0004026958777103573,1e-10,465.91018176078796
