Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.9161572456359863,0.02831711620092392,0.005909514147788286,0.001750812865793705,0.00036537807318381965,NA,0
1,2.9539825916290283,0.002233872190117836,0.00046618797932751477,0.001750812865793705,0.00036537807318381965,1e-06,43.452597856521606
2,2.47139048576355,0.0016060462221503258,0.00033516663825139403,0.001750812865793705,0.00036537807318381965,1e-06,86.0976836681366
3,2.4006731510162354,0.001522762468084693,0.0003177860926371068,0.001750812865793705,0.00036537807318381965,1e-06,127.73594093322754
4,2.3895559310913086,0.001540999859571457,0.0003215920878574252,0.001750812865793705,0.00036537807318381965,1e-06,169.471985578537
5,2.385131597518921,0.0016641974216327071,0.000347302237059921,0.001750812865793705,0.00036537807318381965,1e-06,211.12572193145752
6,2.3979597091674805,0.001632785890251398,0.00034074694849550724,0.001750812865793705,0.00036537807318381965,1e-10,345.46356749534607
